signal_index,file_name,free_text_sensory,free_text_emotional,free_text_association
116,2411011525189.json,"It is a Very slow and gentle sensation, just like air that passes quickly. ",This is way too slow and makes me feel a little irritated because it ends as soon as it starts. ,"It feels like the vibrations on bus or train, really slow and gentle. "
116,2411011100189.json,"the vibration starts off pretty intense and it gradually decline, with a short vibration in the end	",the vibration felt reassuring,it reminded me of the vibrations felt on a video game controller
116,2411051259189.json,this sensation is like starts on high frequency and it gradually decreases while it stops,this sensation make me fells like vibrating	,This reminds me of motor or a battery which is about to die or in the last stage of its capacity
116,2411061548189.json,It feels like a factory siren ,It was a siren sound that gives a sensation of something is going to start	,It reminds of the factory siren
116,2411061645189.json,"The sensation feels like a smooth wave, it is steady. It was like a perfectly engineered speed-braker :)","It makes me feel like there's a constant wave, coming-up.",I could resemble this sensation when I get on a boat; sailing.
117,2411011811189.json,"The sensation is a set of sporadic, irregular beats",The sensation was unsettling,"Yes, it reminds me of a marching band"
117,2411011424189.json,The sensation is small and prickly,The sensation makes me feel irritated and confused.,The sensation reminds me of someone poking their finger on my shoulder continuously.
117,2410301744189.json,The sensation is similar to water drops dripping from a closed faucet.,This sensation makes me calm.,The sensation reminds me of water slowly dripping from a roof into a puddle. 
117,2411011721189.json,The sensation had a lot of breaks in it.,The sensation made me feel steady and weird. The sensation was somewhat frictional.,"Yes, it reminds me of soldiers marching on a national holiday."
117,2411011630189.json,Sensation feels like a heartbeat,Sensation makes me feel like exhaustion,Sensation reminds of a aftermath of a football match
117,2411011525189.json,"This is a very mild and neutral sensation, you can feel it very quickly with a slight buzz. ","This sensation passed very quickly, it felt familiar and comfortable. ",This reminds me of notification on social media platforms like instagram on mobile phones. 
117,2411011100189.json,there were sudden bursts with slight taps	,the vibrations gave me a feeling of urgency,it reminds me of the vibrations felt when a mobile phone rings
117,2411051259189.json,This sensation is like someone is poiking you with a finger ,this sensation makes me irritated	,This sensation reminds me of sharp object 
117,2411061548189.json,It was a small buzz or nudge kind of feeling	,This kind feels like a small nudge,It reminds of someone giving a nudge
117,2411061645189.json,"The sensations was very electric-rythemical, it was going one by one and you could feel it like a heart-beat.",It makes me feel like charged.,"I have felt these vibrations when current passes through my body, in the cases like earthing."
118,2411011811189.json,The sensation was a chaotic continous vibration,The sensation made me feel energised.,The sensation reminded me of a video game controller
118,2411011424189.json,The sensation is coarse and rough.,The sensation makes me feel weird and feels dirty.,The sensation reminds me of driving vehicles on gravel.
118,2410301744189.json,The sensation feels like sitting in a car while going over a bumpy road.,The sensation feels a bit irritating.,This sensation reminds me of sitting at the back of the car while my mother drives on a mildly bumpy road.
118,2411011721189.json,The sensation was weirdly a blend of more than 1 sensation oscillating and making a pattern.,The sensation made me feel excited.,The sensation reminded me of drums that play during a festival. 
118,2411011630189.json,Sensations feel like a heatbeat but with short rapid intervals,Sensation makes me feel anxious and curious,Sensation reminds me of just finishing a exam after doing no study
118,2411011525189.json,The sensation starts with slower waves of vibration and as time passes gets a little aggresive. ,This sensation felt moderately prickly and was a litttle unpleasent to feel. It made me feel unconfortable and weird. ,"Recently I was pricked by a thorn in a bunch of flowers, this sensation made me resonate with that feeling of being pricked or stung. "
118,2411011100189.json,the vibrations were intense with some dips in intensity,the vibrations gave me a feeling of calmness,this was similar to the vibrations felt when playing a musical instrument
118,2411051259189.json,"this senstaion is very calm, slow and almost feels nothing has happened",This sensation makes me feel warm	,This sensation reminds me of cycle wheel while going on a road
118,2411061548189.json,This feels like a random concert noise in low magnitude,When you are in surroundings of concert. the concert vibrations looks like this,When i am around concerts i felt like this
118,2411061645189.json,"This sensation is like, when you don't have anything for too long and your stomach makes weird sounds. These vibrations were exactly like that. The Vibrations were very grainy.",It made me feel hungry.,"Yes, I've felt such kind of vibrations before, they are the first thing I feel when I'm very hungry."
119,2411011811189.json,The sensation was a continuous buzz ,The sensation made me feel calm,The sensation reminded me of riding a bike
119,2411011424189.json,The sensation is one long vibration that starts steady but slowly becomes gritty at the end.,The sensation makes me feel relaxed at the start and ends up being confusing.,N.A.
119,2410301744189.json,This sensation feels like putting your hand over a mixer grinder or blender.,I enjoy this sensation.,This sensation reminds me of using a blender to make a paste.
119,2411011721189.json,The sensation was continuous throughout.,The sensation made me feel calm and reassured.,The sensation reminded me of my water bike riding experience this summer.
119,2411011630189.json,Sensation feels like when your hand paralyze and you have a tingling,Sensation makes me feel afraid and curious,Sensation reminded me of when my hand fracture was removed
119,2411011525189.json,This sensation starts and ends in the same frequancy of vibrations. It is very constant and steady. ,The sensation was very active and pleasant. It makes me feel happy with a positive and calming effect that it brings. This vibration brings me a sensation of relaxation and rest.  ,The constant vibration reminds me of sitting in an aircraft and the feeling of starts to get stronger as the vibrations go by.  
119,2411011100189.json,the vibrations were steady and constant,the vibrations gave me relaxing feeling,the vibrations remind me of those felt when a washing machine is running
119,2411051259189.json,this sensation is like a small wheel is rotating with a high speed		,this sensation makes me feel rough	,This sensation reminds me of something even and flat
119,2411061548189.json,This was kind of ECG machine sounding,This kind of make me feel a machine is working on me to do some diagonosis,When i was examined for medical checkup I felt this kind of feeling
119,2411061645189.json,"The sensation was like, when we try to accelerate a car while pushing on the clutch.",It made me feel very unpleasent.,It made me feel very greasy and too much of a buzz-sound.
120,2411011811189.json,This sensation was a buzz followed by two quick beats,The sensation made me feel anxious,The sensation reminded me of a fast heartbeat
120,2411011424189.json,The sensation is rhythmic. ,The sensation makes me feel enjoyable and pleasant.,The sensation reminds me of beats of music.
120,2410301744189.json,This sensation feels like a marching rhythm. ,This sensation makes me excited.,This sensation reminds me of marching in the band following the rhythm of the drums. 
120,2411011721189.json,This sensation was a combination of 2 sensations oscillating but had different amplitudes and frequencies.,The sensation made me feel tensed and impending of something serious or important is about to happen.,The sensation reminded me of nerves pulsating in a human body.
120,2411011630189.json,Sensation feels like slow drumrolls beating,Sensation makes me feel happy and curious,NA
120,2411011525189.json,"This sensation could seem to be very familiar, slow in the begining and has a few bumps as it progresses ahead. ",The sensation initially made me feel a little anxious but later with the second vibration it made me feel enjoyable. It made me feel excited after feeling it twice. ,This sensation reminds me of the time when you are on some ride or roller coaster in the very initial stage before the ride actually starts. The sensation strongly associates with the machines starting on a roller coaster and makes you excited. 
120,2411011100189.json,the vibrations felt were sudden	,the vibrations gave me a feeling of urgency	,the vibrations were similar to those felt for a phone notification
120,2411051259189.json,this sensation is more like start and stop of rotating wheel with less frequency	,this sensation makes me fell iritating as it is not so smooth	,This sensation reminds of a bus horn
120,2411061548189.json,Bass of whoopher sound,Thumping energy feeling,Listening to music from speakers in a close area
120,2411061645189.json,"The sensation was like 1..23, 1..23 in sequence for me. there was a gap after the first beat and it felt very active.","It made me feel active, as If it's waking me up. I'd wakeup to this for sure as an alarm.","Yes, I feel it when I'm dancing; music."
121,2411011811189.json,The sensation had three scratches followed by a long buzz,This sensation made me feel tense followed by a release,N.A.
121,2411011424189.json,The sensation is uneven.,The sensation makes me feel angry.,N.A.
121,2410301744189.json,This sensation feels like a truck honking at you constantly.,"This sensation makes me feel a bit weird.
",This sensation reminds me of sitting in car while a trucking is honking constantly in a highway.
121,2411011721189.json,The sensation was a mixture of atleast 3 sensations together.,This sensation made me feel excited at first and calm after.,N/A
121,2411011630189.json,Sensation felt like when you get a tingling feeling in your hands after not moving it for a long time,Sensation makes me feel helpless and anxious,Sensation invokes a memory when I sat for entire hour without moving and my hand went numb with tingling sensations
121,2411011525189.json,The sensation is very similar to the pattern of an alarm or calls on phone when on vibrate mode. ,This senstaion makes me feel steady and calm since it feels like something you feel very regularly on a daily basis. ,This clearly reminds me on alarm or phone call when the phone does not have a volume feature. It is very common and part of daily routine. 
121,2411011100189.json,"the vibrations were repetitive, with low and high intensity",the vibrations gave me an exciting feeling,the vibrations were similar to those felt when a car upshifts and accelerates
121,2411051259189.json,This sensation is more like a machine or an engine which starts slow and picks up speed and eventually ends on low	,This sensation makes me feel like frictional	,This sensation reminds me of a running grinder 
121,2411061548189.json,Old car trying to start,Something is not working and i am trying hard to push it to limits,When starting an old car/bike 
121,2411061645189.json,"This sensation was exactly like, when you are out of gas in your car while you're crusing on a highway and your car makes weird noises while being decelerated.","It makes me feel tensed, worrying that something have happened.","Yes, A car/any subject getting dead any moment."
122,2411011811189.json,The sensation is a disconnected rumbling,N.A.,The sensation reminded me of a washing machine
122,2411011424189.json,The sensation is sharp.,The sensation makes me feel strong.,The sensatin remind me of EDM music.
122,2410301744189.json,This sensation feels like someone patting your back.,This sensation makes me feel a bit comfortable.,This sensation reminds me of my grandma patting my head while I try to sleep.
122,2411011721189.json,The sensation had a lot of breaks although the breaks were continuous.,The sensation made me feel neutral.,The sensation reminded me of my dishwasher.
122,2411011630189.json,Sensation feels like extremely slow drumrolls based like heartbeat,Sensation invokes anxiety and distress,NA
122,2411011525189.json,The sensation feels like a heartbeat but very slow and mild with only sibgle beat or vibration at a time. ,This sensation is very pleasant and pleasurable as it gives constant vibrations without breaking the pattern. ,It reminds me of music played in gym during our morning exercise and yoga session. 
122,2411011100189.json,the vibrations had medium intensity with sudden stops in between	,the vibrations gave me the feeling that something needs attention but it isn't too urgent,the vibrations reminds me of in-app notifications when using a mobile phone
122,2411051259189.json,This sensation is like long lastiing vibratin which is for about 5-6 seocnds	 ,This sensation makes me feel bumpy at times,This sensation reminds me of a motor which is in damaged state
122,2411061548189.json,a periodic drum beat,Getting a beat of energy,When listening to a start of song giving a intro kind of feeling.
122,2411061645189.json,"It is a firm noise, I could feel when I'm very anxious.",It makes me feel that something fishy is happening around.,"I didn't feel anything as such, it I can sense similar vibrations in me when I'm very anxious."
123,2411011811189.json,The sensation is two pulses repeating after an interval,The sensation made me feel ready to start a task,The sensation reminded me of an alarm
123,2411011424189.json,The sensation is bumpy ,The sensation makes me feel stress,The sensation reminds me of an ECG machine.
123,2410301744189.json,This sensation feels like a washing machine doing its job.,This sensation makes me feel neutral.,This sensation reminds me of hearing a top-load washing machine from a distance trying to wash some clothes as the clothes push against the wall of the drum.
123,2411011721189.json,The sensation had varying intensities in a single wave.,The sensation made me feel steady and composed.,The sensation reminded me of a washing machine spinning.
123,2411011630189.json,Sensation feels so neutral,"Sensation feels like a buzz, its irritating",Sensation reminds like a when my hands gets greasy and somethings starts falling from my hand
123,2411011525189.json,This can be described as very constant vibration at the begining with a very strong and intense vibration suddenly. ,This did not make me feel very good as it came with a sudden strong break making me get a feeling of sudden fear or anxiety. ,This reminds of of sitting a car which is waiting for a signal that starts suddenly. The vibrations go from being slow and neutral to coming on a strong halt suddenly. 
123,2411011100189.json,the vibration has a slow rise in intensity and a sudden drop in the end,the vibration makes me feel that something needs my attention,the vibrations were similar to that felt when a mobile phone rings
123,2411051259189.json,This sensation is more like a small fan rotating	for 2-3 seconds,This sensation makes me feel passive	,This sensation reminds me of a working small fan
123,2411061548189.json,scratcging a chalk piece on a black board	,This is kind of annoying feeling,When someone tries to scratch differnet materials on each other this kind of vibrations will be felt.
123,2411061645189.json,"It is a constant, unpleasant vibration, I've felt. It is definitely not comfortable to feel it for a long time.",It make me feel like a threat.,"It is very rough and a high intensity vibrations, I felt it when I was on ships."
124,2411011811189.json,The sensation was a fading pulse repeating over and over,N.A.,The sensation reminded me of a washing machine going fast
124,2411011424189.json,The sensation is fuzzy,The sensation makes me feel quiet and focused.,The sensation reminds me of a xerox machine.
124,2410301744189.json,This sensation feels like you are trying to kickstart a scooter.,This sensation makes me happy.,This sensation reminds me of my father trying to kickstart his old scooter.
124,2411011721189.json,The sensation  was continuous and transitioned quickly and smoothly when theree was a break between the two.,The sensation made me feel quiet.,The sensation reminded me of the tredmill in the walking mode.
124,2411011630189.json,Sensation feels of thrill and adventure,Sensation makes me feel happy and achieving,"Sensation invokes of when I climbed a high hill, and after reaching its peak"
124,2411011525189.json,It can be described as active sensations that you keep feeling constantly and know what to expect next also knowing it will last long. ,This makes me feel a little panicky and sensual becuase of long pauses in the middle followed by constant vibrations. ,This relates to the vibrations very similar to an electronic razor or trimming device. The senstaion comes with even pauses and not very intense vibrations. 
124,2411011100189.json,the vibration has a steady rise and a steady fall in intensity	,the vibrations gave me an irritating feeling,the vibrations felt were similar to that felt when the dryer is on
124,2411051259189.json,This sensation is more like low vibration or almost nothing has happened type,This sensation makes me feel buzzing	,This sensation reminds of a mobile buzz placed on a table which is next to your bed 
124,2411061548189.json,something more like a squeeky noise,when a non functional door makes a squeeky noise when it was opened,When i open an old door which is locked for months then this squeeky noise was felt
124,2411061645189.json,"The sensations were a little wooly and they didn't seemed to be constant. It was like a motor working on three operations, and getting back to the square one.",It was like a motor with three level mechanism/operations.,I never felt these kind of vibrations. N.A.
125,2411011811189.json,"The sensation was very grainy, like running my hand through rocks",The sensation  made me feel uneasy,The sensation reminded me of shaking a jar with stones in it
125,2411011424189.json,The sensation is rhythmic.,The sensation makes me feel pleasant and comfortable.,The sensatin reminds me of the beats to a song.
125,2410301744189.json,This sensation feels like a scooter is just about to start.,This sensation makes me excited.,"This sensation reminds me of my father's old scooter when it is about to start and the motor makes some noise, but it eventually stops."
125,2411011721189.json,The sensation was very discontinuous although it followed an interesting pattern.,The sensation  made me feel pleasant and active.,The sensation reminded me of the starting part of the song : 'Believer' by imagine dragons.
125,2411011630189.json,Sensation feels like a active buzz,Sensation made me uncomfortable and sad,Sensation invokes of when I'm in a losing argument
125,2411011525189.json,"The sensation can be described as a vibrating object at the end of its lifecycle, with uncetain buzz at every stage. ",This sensation felt irritating and annoyong as I associate it with something that will stop working very soon. ,This sensation reminds me of an electronic toothbrush whose batteries are soon going to get over. It is very rough and you feel uncertain on how long the device will last. 
125,2411011100189.json,the vibrations had frequent up and downs,the vibrations made me feel energetic,the vibrations remind me of vibration felt when music is played at a club
125,2411051259189.json,This sensation is like a sudden jerk which fades off eventually	,This sensation makes me feel irritated	,This sensation reminds me of electric static 
125,2411061548189.json,Beat of violin hitting the high musical notes and ending with a sharp note.,Giving the information of high incoming pitches followed by a sharp ending note,It reminds me of a song where the information is given with an ending. 
125,2411061645189.json,"The sensations were very grainy and aggresive, they are not panicky but a little high in frequency.",It makes me feel alerted.,I have felt this when drums are played around me. 
126,2411011811189.json,The sensation was a continous vibration which sporadically gets louder,The sensation made me feel jittery,The senation reminded me of a blender
126,2411011424189.json,The senssatin is strong and intense.,The sensation makes me feel serious.,The sensation reminds me of an stressed situation of decisin making.
126,2410301744189.json,This sensation feels like bike passing by while throttling it's engine.,This sensation makes me feel alarmed.,This sensation reminds me of sitting in my school bus and a bike passing by with full speed with popping sounds coming out of the silencer.
126,2411011721189.json,The sensation was stable and excitatory at the saame time and had a lot of frequency variations.,The sensation made me feel neutral.,The senation reminded me of a mixer when it is in the non-pulse mode.
126,2411011630189.json,Sensation feels like a arousing heartbeat,"Sensation invokes comfort and warmth, it feels so happy and pleasant",Sensation feels like when I used to see the girl I liked
126,2411011525189.json,It could be described as a sensation that is constaly fast paced and very familiar. ,I feel very excited and happy by this sensation as it seems to be familiar with my body and has constant good strong vibrations. ,It reminds me of playing the real life car or bike driving game that comes with a thrill of playing quickly and excitment of what is going to come next. 
126,2411011100189.json,the vibrations where high intensity ones when short breaks in between,the vibrations gave me a feeling of urgency	,it reminds me of the vibrations felt when a phone rings
126,2411051259189.json,This sensation is more like a start stop vibration whch doesn't bother you much	,This sensation makes me feel like smoothing	,This sensation reminds of a hair dryer
126,2411061548189.json,The loud songs of the drum being played at an orchaestra,this sensation makes me feel it was trying to pass a statement or the commanding attitude,When an orchaestra is played and it tries to make a statement giving the authority or the importance of the situation.
126,2411061645189.json,"The vibrations are soothing to feel, they seem like they're in a pattern to communicate something.",I could feel like those vibrations had a message.,I felt like these kinds vibrations are used in movies to communicate dialogues to the audience without being said.
127,2411011811189.json,The sensation was continous and shaky,This made me feel nervous,The sensation reminded me of an earthquake
127,2411011424189.json,The sensation is neutral,N.A. ,N.A.
127,2410301744189.json,This sensation feels like sitting in a bus.,This sensation makes me steady.,This sensation reminds me of sitting in an overnight local bus to go somewhere.
127,2411011721189.json,The sensation was discontinuous with momentary breaking.,The emotions that I was able to attach were that of going away from something. It made me feel lonely and alienated.,"The sensation reminded me of a train in transit, it reminded me of my recent train journey."
127,2411011630189.json,Sensation is like a passive yet wierd long buzz,Sensation is relaxing yet discomforting at the same time,Sensation invokes a bad memory
127,2411011525189.json,It can be described as heavy vibrations with 2 different strong sensations coming at a single time. ,This sensation is making me feel extremely urgent and annoying. The vibrations feels very aggresive with A STRONG MIXED SECOND VIBRATION CREATING anxiety. ,This reminds me of a mixer which is not working very properly and smooth to use. It has very intense vibrations. 
127,2411011100189.json,the vibrations were intense and constant,the vibrations gave me an unpleasent feeling,the vibrations were similar to that of a phone alarm
127,2411051259189.json,This sensation is like a constant vibration or buzz with same intensity	,This sensations makes me feel alert,This reminds me of a mobile buzz in your hands
127,2411061548189.json,"the sensation is like constant full flow river flowing, ",Gives a sensation of some constant flow of energy is hitting us,"When sitting by a side of river hearing to the flow of water, this reminds me of the same."
127,2411061645189.json,"These vibrations felt irritating, it was like a heavy wind near the coast, the intensity was high but; didn't feel like constant.",It made me feel like a heavy wind.,I remember I felt these kinds of vibrations when I was near NY coastline.
128,2411011811189.json,The sensation increased then decreased in intensity,N.A.,N.A.
128,2411011424189.json,The sensation is rough.,The sensation makes me feel thrill.,The sensation reminds me of starting a motor bike.
128,2410301744189.json,This sensation feels like a guy trying to rev his motorcycle by twisting the handle.,This sensation makes me excited.,This sensation reminds me of my uncle revving his motorcycle when he's about to leave. 
128,2411011721189.json,The sensation had a lot of variations although it resonated stability.,The sensation made me feel fulfilled.,The sensation reminded me of filling a jar with candies.
128,2411011630189.json,Sensation feels like nudging someone constantly in the form of buzzing,"Sensation feels exciting yet weird, with a hint of happiness",Sensation reminds of when I have a vibrating mobile in my pocket
128,2411011525189.json,This can be described as a line of vibrations that come very slowly and feel very familiar. It has a pattern that can be easily predicted. ,"This is a very familiar sensation that gives me reassuring vibe, it also makes me feel calmness and continuity. ",I associate this feeling with the feeling of a fan on the ceiling that is used in peak summer. It is very constant and continuous with mild vibrations. 
128,2411011100189.json,the intensity of the vibrations were slowly increasing	,the vibration gave me a feeling of urgency	,the vibrations were similar to that felt when a phone rings
128,2411051259189.json,This sensation is more like a buzz which increases over time,This sensation makes me feel enjoyable,This sensation reminds me of a micro owen
128,2411061548189.json,the sensation is like a full throttle of kick followed by the thumping sound of the bike starting,sensation makes me feel like getting a high adrenaline feeling by kicking the inner energy.,this reminds me of a time when starting a new bike with full range motion
128,2411061645189.json,I exactly felt like a caterpillar or a rattle snake moving. The sound could match a 100%.,It made me feel like a rattle snake was moving around me. ,"This also resembles a constant, rubbery feel while sensing it."
89,2410291354178.json,The sensation is frictional. It feels like the noise produced when something is struck against a metal.,The sensation makes me feel irritating. I can attach unpleasantness to it.,The sensation reminds me of the kitchen sink grinder.
89,2410291248178.json,The sensastion feels like a low puslating object,The sensation makes me feel calm,The sensation reminds me of a sci-fi film.
89,2410251808178.json,The sensation is like a buzzing sound vibration,The sensation makes me feel like my phone is vibrating on receiving a call from someone,The sensation reminds me of my phone call vibration
89,2410251705178.json," I would describe this sensation a bit mild in hand, couldn't feel much",I felt confortable with the sensations.,This reminds me of a cell phone on silent mode ringing in pocket
89,2410231809178.json,This vibration is like a coarse surface. In the beginning it is more smooth but with each iteration it get more coarse.,This vibration make me fell a bit irritating.,This vibration reminds me of a rough sandstone like material.
89,2410231659178.json,The sensation is very light vibration.,This sensation makes me feel calm and comforting.,This reminds me of sea breeze.
89,2410251436178.json,The sensation was passive but persisted long enough,The sensation makes me feel a sense of urgency but not a critical situation.,I could associate this sensation with a vibrating phone.
89,2410251317178.json,This sensation feels coarse and unrefined like sand.  ,This senation makes me feel relaxed. It can also be described as mild. ,This sensation feels like sand under a person's feet on a beach.
89,2410241501178.json,The sensation was in the burst mode. It's intensity kept increasing gradually. The duration between each sensation was almost half to the sensation duration.,"The sensation maked me feel like a roller coaster ride where with each time the intensity was increased, it was more exciting.",the sensation reminds me of my phone alarm that keeps increasing for the first few seconds.
89,2410251517178.json,It feels like a wind that gushes through the window.,It makes me feel anxious and stressed,it makes me think of the wind that blows when you leave the windows open in a car.
98,2410291354178.json,The sensation feels like touching a rotating wheel that is suddenly accelerating with a certain frequency.,This sensation makes me feel steady. I can attach relaxation and fun to it.,It reminds me of accelerating a bike by maintaining a regular speed with some sudden surges frequently.
98,2410291248178.json,The sensation feels like an irregular pulse which is slightly intense.,The sensation makes me feel unpleasant.,The sensation reminds me of a horror film.
98,2410111205167.json,This sensation is a little weak vibration with a sudden strong vibration in betweeen	,Thi sensation makes me feel relaxing	,This reminds me when I am revving the vehicle smoothly at night at a signal 
98,2410161555167.json,This sensation was like rolling beats with soft vibrations,This sensation made me feel weird and confused,This sensation reminded me of a vehicle moving with high speed 
98,2410171701167.json,The sensation is like small repeating pattern of racing the bike.,The sensation made me feel uneasy.,The sensation reminded me of accerlerating bike.
98,2410171514167.json, This sensation was like a rhythmic and sharp buzz.,This sensation feels funny.,This sensation reminds me of a dog barking.
98,2410161816167.json,THIS IS A SLOW CONTINUOUS ROLLING SENSATION IN THE HAND,IT MAKES ME FEEL VERY DROWSY AND TIRED,IT REMINDS ME OF A STEADY TRAIN ON A TRACK
98,2410161701167.json,The sensation is very rhythmic with equal short buzzes,This sensation is machine and electric and gritty,This sensation reminds me of a situation in a game which i can't pinpoint
98,2410171826167.json,I would describe this sensation to someone else as long vibrations which are fading out into shorter vibrations,It makes me feel irritated and angry,This reminds me of sitting in a vehicle where someone is constantly pushing brake
98,2410181604167.json,This sensation is like a repetitive revving of a bike.,This sensation makes me feel excited and thrilled.,This sensation reminds me of a bike revving its engine mildly.
98,2410181500167.json,It is very similar to the feeling of a cat purring.,It feels comfortable and relaxing.,"The sensation is comparable to a cat's purr, ryhtmic vibrations."
98,2410181706167.json,This is a sensation with short energetic continuous beats,This sensation makes me feel steady,Yes it reminds me of pulling a string chopper for cutting vegetables
98,2410251808178.json,The sensation feels like a hammering vibration,The sensation triggers banging emotion,The sensation makes me feel as if im holding a drill machine
98,2410251705178.json,The sensation felt like a wheel is spinning fast,This sensation makes me feel electric,The sensation reminds me of the jerk that you get while in a moving vehicle.
98,2410231809178.json,The vibration starts with steady buzz but then it transistions into a impulse of very rough vibration.,This vibration makes me fell sporadic and urgent. ,This vibration fell like a alarm system vibration with it short burst of rough vibrations.
98,2410231659178.json,The sensation feels like some vibrations are getting obstructed. it seems like a discontinuous pattern.,N.A.,"This reminds me of radio frequency signals, which we set manually."
98,2410251436178.json,This sensation reminded me of a heartbeat,Thie sensation made me feel calm,This sensation reminded me of a steady and slow heartbeat.
98,2410251317178.json,This sensation feels like a repetitive and consistent pattern,This sensation makes me feel Nostalgic,The sensation felt like being on a train in India. The train would make vibrations like this when it passed on the tracks. 
98,2410241501178.json,The sensation was continuous with increasing and decreasing intensity like a sine wave.,The sensation make me feel like I was inside a whirlpool.,The sensation reminds me of the washing machine spinning clothes.
